state,road,sample_ID,distance_cm,avg_outlier,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,sus_avg,sus_stdv,traffic_vol,traffic_class
Georgia,Old Babb Road,OB500,500,average,0.000271,0.000251,0.000251,0.000279,0.000268,0.000285,,,,,,0.0002675,1.41103E-05,,low
Georgia,Old Babb Road,OB500,500,outlier,0.00102,0.00102,0.00111,,,,,,,,,0.00105,5.19615E-05,,low
Georgia,Old Babb Road,OB600,600,average,0.000256,0.000319,0.000283,0.000413,0.000373,0.000396,,,,,,0.00034,6.37181E-05,,low
Georgia,Utility Road,U10,10,average,0.000225,0.000204,0.000192,0.000188,0.000165,0.000184,0.000325,0.00032,0.000304,,,0.000234111,6.39325E-05,,low
Georgia,Utility Road,U50,50,average,0.00033,0.000327,0.000335,0.000406,0.000417,0.000425,0.000392,0.00037,0.000326,,,0.000369778,4.12667E-05,,low
Georgia,Utility Road,U100,100,average,0.000303,0.000303,0.000312,0.000282,0.000282,0.000298,0.000362,0.000372,0.00032,,,0.000314889,3.2107E-05,,low
Georgia,Utility Road,U150,150,average,0.000334,0.000327,0.000301,0.000296,0.00029,0.000309,0.000386,0.000433,0.000373,,,0.000338778,4.86872E-05,,low
Georgia,Utility Road,U200,200,average,0.000496,0.000476,0.000485,0.000474,0.000462,0.000484,0.000368,0.000409,0.000369,,,0.000447,5.09632E-05,,low
Georgia,Utility Road,U300,300,average,0.000361,0.000351,0.000345,0.000566,0.000593,0.000565,0.000975,0.00094,0.000931,,,0.000625222,0.000261399,,low
Georgia,Utility Road,U400,400,average,0.000674,0.000662,0.00064,0.000557,0.000536,0.000482,,,,,,0.000591833,7.796E-05,,low
Georgia,Utility Road,U500,500,average,0.000648,0.0006,0.000615,0.000643,0.000623,0.000644,,,,,,0.000628833,1.92605E-05,,low
Georgia,Utility Road,U600,600,average,0.000719,0.000698,0.000706,0.000881,0.000907,0.000912,,,,,,0.000803833,0.000106082,,low
Georgia,Dalton Bypass Corporate Drive,D10,10,average,0.00444,0.00419,0.00463,0.00777,0.00663,0.00629,,,,,,0.005658333,0.001449143,16600.00,high
Georgia,Dalton Bypass Corporate Drive,D50,50,average,0.00214,0.0022,0.00226,0.00287,0.00275,0.00257,,,,,,0.002465,0.000307945,16600.00,high
Georgia,Dalton Bypass Corporate Drive,D100,100,average,0.00134,0.00123,0.00115,0.0011,0.00107,0.00106,,,,,,0.001158333,0.000108704,16600.00,high
Georgia,Dalton Bypass Corporate Drive,D150,150,average,0.000957,0.001,0.000993,0.00154,0.00154,0.0015,,,,,,0.001255,0.000298311,16600.00,high
Georgia,Dalton Bypass Corporate Drive,D200,200,average,0.0011,0.000983,0.000933,0.00087,0.000847,0.000868,,,,,,0.0009335,9.58932E-05,16600.00,high
Georgia,Dalton Bypass Corporate Drive,D300,300,average,0.001,0.000795,0.000853,0.000732,0.000902,0.000906,0.000945,,,,,0.000876143,9.08652E-05,16600.00,high
